Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Ezekiel Elliott (11307388),Ezekiel Elliott,11307388,RB/FLEX,8700,DAL@SEA 09/23/2018 04:25PM ET,DAL,18.65
RB,David Johnson (11307390),David Johnson,11307390,RB/FLEX,7800,CHI@ARI 09/23/2018 04:25PM ET,ARI,11.9
RB,Jordan Howard (11307392),Jordan Howard,11307392,RB/FLEX,7300,CHI@ARI 09/23/2018 04:25PM ET,CHI,12.75
WR,Allen Robinson II (11307422),Allen Robinson II,11307422,WR/FLEX,6800,CHI@ARI 09/23/2018 04:25PM ET,CHI,14.2
QB,Russell Wilson (11307378),Russell Wilson,11307378,QB,6500,DAL@SEA 09/23/2018 04:25PM ET,SEA,19.58
WR,Larry Fitzgerald (11307424),Larry Fitzgerald,11307424,WR/FLEX,6300,CHI@ARI 09/23/2018 04:25PM ET,ARI,10.2
WR,Tyler Lockett (11307426),Tyler Lockett,11307426,WR/FLEX,6200,DAL@SEA 09/23/2018 04:25PM ET,SEA,15.95
QB,Mitchell Trubisky (11307379),Mitchell Trubisky,11307379,QB,6000,CHI@ARI 09/23/2018 04:25PM ET,CHI,15.72
QB,Dak Prescott (11307380),Dak Prescott,11307380,QB,5900,DAL@SEA 09/23/2018 04:25PM ET,DAL,12.3
WR,Doug Baldwin (11307428),Doug Baldwin,11307428,WR/FLEX,5500,DAL@SEA 09/23/2018 04:25PM ET,SEA,0
RB,Tarik Cohen (11307394),Tarik Cohen,11307394,RB/FLEX,5200,CHI@ARI 09/23/2018 04:25PM ET,CHI,5.3
WR,Brandon Marshall (11307430),Brandon Marshall,11307430,WR/FLEX,5100,DAL@SEA 09/23/2018 04:25PM ET,SEA,11
QB,Sam Bradford (11307381),Sam Bradford,11307381,QB,5100,CHI@ARI 09/23/2018 04:25PM ET,ARI,3.71
TE,Trey Burton (11307472),Trey Burton,11307472,TE/FLEX,5000,CHI@ARI 09/23/2018 04:25PM ET,CHI,7.35
QB,Josh Rosen (11307382),Josh Rosen,11307382,QB,4900,CHI@ARI 09/23/2018 04:25PM ET,ARI,0
RB,Chris Carson (11307396),Chris Carson,11307396,RB/FLEX,4800,DAL@SEA 09/23/2018 04:25PM ET,SEA,6.15
RB,Rashaad Penny (11307398),Rashaad Penny,11307398,RB/FLEX,4700,DAL@SEA 09/23/2018 04:25PM ET,SEA,5.65
WR,Cole Beasley (11307432),Cole Beasley,11307432,WR/FLEX,4700,DAL@SEA 09/23/2018 04:25PM ET,DAL,8.8
QB,Chase Daniel (11307383),Chase Daniel,11307383,QB,4500,CHI@ARI 09/23/2018 04:25PM ET,CHI,0
RB,Chase Edmonds (11307400),Chase Edmonds,11307400,RB/FLEX,4500,CHI@ARI 09/23/2018 04:25PM ET,ARI,7.9
QB,Brett Hundley (11307384),Brett Hundley,11307384,QB,4300,DAL@SEA 09/23/2018 04:25PM ET,SEA,0
WR,Taylor Gabriel (11307434),Taylor Gabriel,11307434,WR/FLEX,4300,CHI@ARI 09/23/2018 04:25PM ET,CHI,8.1
QB,Cooper Rush (11307385),Cooper Rush,11307385,QB,4200,DAL@SEA 09/23/2018 04:25PM ET,DAL,0
QB,Mike Glennon (11307386),Mike Glennon,11307386,QB,4100,CHI@ARI 09/23/2018 04:25PM ET,ARI,0
QB,Mike White (11307387),Mike White,11307387,QB,4000,DAL@SEA 09/23/2018 04:25PM ET,DAL,0
RB,Rod Smith (11307402),Rod Smith,11307402,RB/FLEX,4000,DAL@SEA 09/23/2018 04:25PM ET,DAL,0.25
WR,Deonte Thompson (11307436),Deonte Thompson,11307436,WR/FLEX,3900,DAL@SEA 09/23/2018 04:25PM ET,DAL,6.5
WR,Jaron Brown (11307438),Jaron Brown,11307438,WR/FLEX,3900,DAL@SEA 09/23/2018 04:25PM ET,SEA,4.15
WR,Tavon Austin (11307440),Tavon Austin,11307440,WR/FLEX,3900,DAL@SEA 09/23/2018 04:25PM ET,DAL,8.75
WR,Allen Hurns (11307442),Allen Hurns,11307442,WR/FLEX,3900,DAL@SEA 09/23/2018 04:25PM ET,DAL,2.45
WR,Anthony Miller (11307444),Anthony Miller,11307444,WR/FLEX,3900,CHI@ARI 09/23/2018 04:25PM ET,CHI,6.25
DST,Bears  (11307508),Bears ,11307508,DST,3900,CHI@ARI 09/23/2018 04:25PM ET,CHI,15.5
WR,Michael Gallup (11307448),Michael Gallup,11307448,WR/FLEX,3800,DAL@SEA 09/23/2018 04:25PM ET,DAL,1.7
TE,Will Dissly (11307474),Will Dissly,11307474,TE/FLEX,3800,DAL@SEA 09/23/2018 04:25PM ET,SEA,17.85
WR,Christian Kirk (11307446),Christian Kirk,11307446,WR/FLEX,3800,CHI@ARI 09/23/2018 04:25PM ET,ARI,4.05
WR,Terrance Williams (11307450),Terrance Williams,11307450,WR/FLEX,3600,DAL@SEA 09/23/2018 04:25PM ET,DAL,1.9
RB,T.J. Logan (11307404),T.J. Logan,11307404,RB/FLEX,3500,CHI@ARI 09/23/2018 04:25PM ET,ARI,0
RB,J.D. McKissic (11307408),J.D. McKissic,11307408,RB/FLEX,3400,DAL@SEA 09/23/2018 04:25PM ET,SEA,0
RB,Benny Cunningham (11307406),Benny Cunningham,11307406,RB/FLEX,3400,CHI@ARI 09/23/2018 04:25PM ET,CHI,0
RB,C.J. Prosise (11307410),C.J. Prosise,11307410,RB/FLEX,3300,DAL@SEA 09/23/2018 04:25PM ET,SEA,2.6
WR,Brice Butler (11307452),Brice Butler,11307452,WR/FLEX,3300,DAL@SEA 09/23/2018 04:25PM ET,DAL,0
TE,Ricky Seals-Jones (11307476),Ricky Seals-Jones,11307476,TE/FLEX,3200,CHI@ARI 09/23/2018 04:25PM ET,ARI,5.3
DST,Seahawks  (11307509),Seahawks ,11307509,DST,3100,DAL@SEA 09/23/2018 04:25PM ET,SEA,7
RB,Jamize Olawale (11307416),Jamize Olawale,11307416,RB/FLEX,3000,DAL@SEA 09/23/2018 04:25PM ET,DAL,0
RB,Tre Madden (11307418),Tre Madden,11307418,RB/FLEX,3000,DAL@SEA 09/23/2018 04:25PM ET,SEA,0.85
RB,Mike Davis (11307420),Mike Davis,11307420,RB/FLEX,3000,DAL@SEA 09/23/2018 04:25PM ET,SEA,1.2
WR,Keenan Reynolds (11307458),Keenan Reynolds,11307458,WR/FLEX,3000,DAL@SEA 09/23/2018 04:25PM ET,SEA,0
WR,Noah Brown (11307466),Noah Brown,11307466,WR/FLEX,3000,DAL@SEA 09/23/2018 04:25PM ET,DAL,0
WR,David Moore (11307470),David Moore,11307470,WR/FLEX,3000,DAL@SEA 09/23/2018 04:25PM ET,SEA,0
RB,Derrick Coleman (11307412),Derrick Coleman,11307412,RB/FLEX,3000,CHI@ARI 09/23/2018 04:25PM ET,ARI,0.05
RB,Michael Burton (11307414),Michael Burton,11307414,RB/FLEX,3000,CHI@ARI 09/23/2018 04:25PM ET,CHI,1.6
WR,Josh Bellamy (11307454),Josh Bellamy,11307454,WR/FLEX,3000,CHI@ARI 09/23/2018 04:25PM ET,CHI,0.8
WR,J.J. Nelson (11307456),J.J. Nelson,11307456,WR/FLEX,3000,CHI@ARI 09/23/2018 04:25PM ET,ARI,0
WR,Kevin White (11307460),Kevin White,11307460,WR/FLEX,3000,CHI@ARI 09/23/2018 04:25PM ET,CHI,0
WR,Chad Williams (11307462),Chad Williams,11307462,WR/FLEX,3000,CHI@ARI 09/23/2018 04:25PM ET,ARI,0
WR,Trent Sherfield (11307464),Trent Sherfield,11307464,WR/FLEX,3000,CHI@ARI 09/23/2018 04:25PM ET,ARI,0
WR,Javon Wims (11307468),Javon Wims,11307468,WR/FLEX,3000,CHI@ARI 09/23/2018 04:25PM ET,CHI,0
DST,Cowboys  (11307510),Cowboys ,11307510,DST,2900,DAL@SEA 09/23/2018 04:25PM ET,DAL,9
TE,Jermaine Gresham (11307478),Jermaine Gresham,11307478,TE/FLEX,2900,CHI@ARI 09/23/2018 04:25PM ET,ARI,0
TE,Ed Dickson (11307480),Ed Dickson,11307480,TE/FLEX,2800,DAL@SEA 09/23/2018 04:25PM ET,SEA,0
TE,Nick Vannett (11307482),Nick Vannett,11307482,TE/FLEX,2700,DAL@SEA 09/23/2018 04:25PM ET,SEA,3.7
TE,Tyler Ott (11307490),Tyler Ott,11307490,TE/FLEX,2500,DAL@SEA 09/23/2018 04:25PM ET,SEA,0
TE,Rico Gathers (11307496),Rico Gathers,11307496,TE/FLEX,2500,DAL@SEA 09/23/2018 04:25PM ET,DAL,0
TE,Blake Jarwin (11307498),Blake Jarwin,11307498,TE/FLEX,2500,DAL@SEA 09/23/2018 04:25PM ET,DAL,0
TE,Geoff Swaim (11307500),Geoff Swaim,11307500,TE/FLEX,2500,DAL@SEA 09/23/2018 04:25PM ET,DAL,2.4
TE,Darrell Daniels (11307502),Darrell Daniels,11307502,TE/FLEX,2500,DAL@SEA 09/23/2018 04:25PM ET,SEA,0
TE,Dalton Schultz (11307504),Dalton Schultz,11307504,TE/FLEX,2500,DAL@SEA 09/23/2018 04:25PM ET,DAL,0
TE,Patrick Scales (11307484),Patrick Scales,11307484,TE/FLEX,2500,CHI@ARI 09/23/2018 04:25PM ET,CHI,0
TE,Gabe Holmes (11307486),Gabe Holmes,11307486,TE/FLEX,2500,CHI@ARI 09/23/2018 04:25PM ET,ARI,0
TE,Dion Sims (11307488),Dion Sims,11307488,TE/FLEX,2500,CHI@ARI 09/23/2018 04:25PM ET,CHI,1.45
TE,Daniel Brown (11307492),Daniel Brown,11307492,TE/FLEX,2500,CHI@ARI 09/23/2018 04:25PM ET,CHI,0
TE,Ben Braunecker (11307494),Ben Braunecker,11307494,TE/FLEX,2500,CHI@ARI 09/23/2018 04:25PM ET,CHI,0
TE,Adam Shaheen (11307506),Adam Shaheen,11307506,TE/FLEX,2500,CHI@ARI 09/23/2018 04:25PM ET,CHI,0
DST,Cardinals  (11307511),Cardinals ,11307511,DST,2500,CHI@ARI 09/23/2018 04:25PM ET,ARI,4
